Date,Close,High,Low,Open,Volume
2024-08-26,25010.6,25043.8,24874.7,24906.1,210300
2024-08-27,25017.75,25073.1,24973.65,25024.8,223300
2024-08-28,25052.35,25129.6,24964.65,25030.8,220400
2024-08-29,25151.95,25192.9,24998.5,25035.3,354000
2024-08-30,25235.9,25268.35,25199.4,25249.7,638200
2024-09-02,25278.7,25333.65,25235.5,25333.6,222800
2024-09-03,25279.85,25321.7,25235.8,25313.4,212100
2024-09-04,25198.7,25216.0,25083.8,25089.95,253800
2024-09-05,25145.1,25275.45,25127.75,25250.5,222200
2024-09-06,24852.15,25168.75,24801.3,25093.7,311700
2024-09-09,24936.4,24957.5,24753.15,24823.4,254400
2024-09-10,25041.1,25130.5,24896.8,24999.4,251300
2024-09-11,24918.45,25113.7,24885.15,25034.0,279200
2024-09-12,25388.9,25433.35,24941.45,25059.65,380100
2024-09-13,25356.5,25430.5,25292.45,25430.45,250800
2024-09-16,25383.75,25445.7,25336.2,25406.65,168700
2024-09-17,25418.55,25441.65,25352.25,25416.9,216000
2024-09-18,25377.55,25482.2,25285.55,25402.4,215700
2024-09-19,25415.8,25611.95,25376.05,25487.05,314500
2024-09-20,25790.95,25849.25,25426.6,25525.95,533100
2024-09-23,25939.05,25956.0,25847.35,25872.55,209200
2024-09-24,25940.4,26011.55,25886.85,25921.45,384100
2024-09-25,26004.15,26032.8,25871.35,25899.45,278500
2024-09-26,26216.05,26250.9,25998.4,26005.4,370900
2024-09-27,26178.95,26277.35,26151.4,26248.25,490300
2024-09-30,25810.85,26134.7,25794.1,26061.3,343100
2024-10-01,25796.9,25907.6,25739.2,25788.45,247400
2024-10-03,25250.1,25639.45,25230.3,25452.85,423400
2024-10-04,25014.6,25485.05,24966.8,25181.9,374900
2024-10-07,24795.75,25143.0,24694.35,25084.1,374300
2024-10-08,25013.15,25044.0,24756.8,24832.2,333200
2024-10-09,24981.95,25234.05,24947.7,25065.8,290600
2024-10-10,24998.45,25134.05,24979.4,25067.05,261400
2024-10-11,24964.25,25028.65,24920.05,24985.3,210500
2024-10-14,25127.95,25159.75,25017.5,25023.45,206400
2024-10-15,25057.35,25212.05,25008.15,25186.3,257200
2024-10-16,24971.3,25093.4,24908.45,25008.55,226800
2024-10-17,24749.85,25029.5,24728.9,25027.4,252800
2024-10-18,24854.05,24886.2,24567.65,24664.95,290900
2024-10-21,24781.1,24978.3,24679.6,24956.15,242000
2024-10-22,24472.1,24882.0,24445.8,24798.65,279500
2024-10-23,24435.5,24604.25,24378.1,24378.15,284600
2024-10-24,24399.4,24480.65,24341.2,24412.7,216700
2024-10-25,24180.8,24440.25,24073.9,24418.05,372600
2024-10-28,24339.15,24492.6,24134.9,24251.1,278600
2024-10-29,24466.85,24484.5,24140.85,24328.85,332000
2024-10-30,24340.85,24498.2,24307.3,24371.45,285200
2024-10-31,24205.35,24372.45,24172.6,24349.85,287000
2024-11-01,24304.35,24368.25,24280.2,24302.75,38800
2024-11-04,23995.35,24316.75,23816.15,24315.75,285500
2024-11-05,24213.3,24229.05,23842.75,23916.5,289500
2024-11-06,24484.05,24537.6,24204.05,24308.75,351100
2024-11-07,24199.35,24503.35,24179.05,24489.6,322200
2024-11-08,24148.2,24276.15,24066.65,24207.7,298700
2024-11-11,24141.3,24336.8,24004.6,24087.25,273400
2024-11-12,23883.45,24242.0,23839.15,24225.8,255800
2024-11-13,23559.05,23873.6,23509.6,23822.45,304600
2024-11-14,23532.7,23675.9,23484.15,23542.15,257700
2024-11-18,23453.8,23606.8,23350.4,23605.3,263300
2024-11-19,23518.5,23780.65,23464.8,23529.55,297500
2024-11-21,23349.9,23507.3,23263.15,23488.45,420300
2024-11-22,23907.25,23956.1,23359.0,23411.8,367600
2024-11-25,24221.9,24351.55,24135.45,24253.55,687200
2024-11-26,24194.5,24343.3,24125.4,24343.3,230700
2024-11-27,24274.9,24354.55,24145.65,24204.8,295000
2024-11-28,23914.15,24345.75,23873.35,24274.15,366700
2024-11-29,24131.1,24188.45,23927.15,23927.15,282100
2024-12-02,24276.05,24301.7,24008.65,24140.85,220400
2024-12-03,24457.15,24481.35,24280.0,24367.5,339500
2024-12-04,24467.45,24573.2,24366.3,24488.75,348000
2024-12-05,24708.4,24857.75,24295.55,24539.15,361500
2024-12-06,24677.8,24751.05,24620.5,24729.45,226700
2024-12-09,24619.0,24705.0,24580.05,24633.9,248100
2024-12-10,24610.05,24677.8,24510.65,24652.65,261000
2024-12-11,24641.8,24691.75,24583.85,24620.5,187300
2024-12-12,24548.7,24675.25,24527.95,24604.45,266100
2024-12-13,24768.3,24792.3,24180.8,24498.35,310100
2024-12-16,24668.25,24781.25,24601.75,24753.4,187600
2024-12-17,24336.0,24624.1,24303.45,24584.8,264900
2024-12-18,24198.85,24394.45,24149.85,24297.95,235300
2024-12-19,23951.7,24004.9,23870.3,23877.15,271100
2024-12-20,23587.5,24065.8,23537.35,23960.7,442700
2024-12-23,23753.45,23869.55,23647.2,23738.2,189800
2024-12-24,23727.65,23867.65,23685.15,23769.1,177700
2024-12-26,23750.2,23854.5,23653.6,23775.8,177700
2024-12-27,23813.4,23938.85,23800.6,23801.4,176800
2024-12-30,23644.9,23915.35,23599.3,23796.9,364900
2024-12-31,23644.8,23689.85,23460.45,23560.6,193600
2025-01-01,23742.9,23822.8,23562.8,23637.65,154900
2025-01-02,24188.65,24226.7,23751.55,23783.0,283200
2025-01-03,24004.75,24196.45,23976.0,24196.4,312300
2025-01-06,23616.05,24089.95,23551.9,24045.8,278100
2025-01-07,23707.9,23795.2,23637.8,23679.9,262300
2025-01-08,23688.95,23751.85,23496.15,23746.65,266400
2025-01-09,23526.5,23689.5,23503.05,23674.75,269200
2025-01-10,23431.5,23596.6,23344.35,23551.9,261000
2025-01-13,23085.95,23340.95,23047.25,23195.4,316500
2025-01-14,23176.05,23264.95,23134.15,23165.9,311200
2025-01-15,23213.2,23293.65,23146.45,23250.45,228000
2025-01-16,23311.8,23391.65,23272.05,23377.25,299400
2025-01-17,23203.2,23292.1,23100.35,23277.1,272900
2025-01-20,23344.75,23391.1,23170.65,23290.4,301500
2025-01-21,23024.65,23426.3,22976.85,23421.65,312900
2025-01-22,23155.35,23169.55,22981.3,23099.15,276000
2025-01-23,23205.35,23270.8,23090.65,23128.3,275600
2025-01-24,23092.2,23347.3,23050.0,23183.9,264300
2025-01-27,22829.15,23007.45,22786.9,22940.15,257400
2025-01-28,22957.25,23137.95,22857.65,22960.45,361900
2025-01-29,23163.1,23183.35,22976.5,23026.75,226300
2025-01-30,23249.5,23322.05,23139.2,23169.5,361900
2025-01-31,23508.4,23546.8,23277.4,23296.75,304900
2025-02-01,23482.15,23632.45,23318.3,23528.6,281000
2025-02-03,23361.05,23381.6,23222.0,23319.35,329700
2025-02-04,23739.25,23762.75,23423.15,23509.9,376700
2025-02-05,23696.3,23807.3,23680.45,23801.75,267000
2025-02-06,23603.35,23773.55,23556.25,23761.95,307000
2025-02-07,23559.95,23694.5,23443.2,23649.5,368100
2025-02-10,23381.6,23568.6,23316.3,23543.8,234200
2025-02-11,23071.8,23390.05,22986.65,23383.55,268000
2025-02-12,23045.25,23144.7,22798.35,23050.8,279700
2025-02-13,23031.4,23235.5,22992.2,23055.75,265700
2025-02-14,22929.25,23133.7,22774.85,23096.45,254500
2025-02-17,22959.5,22974.2,22725.45,22809.9,207400
2025-02-18,22945.3,22992.5,22801.5,22963.65,210600
2025-02-19,22932.9,23049.95,22814.85,22847.25,207000
2025-02-20,22913.15,22923.85,22812.75,22821.1,240800
2025-02-21,22795.9,22921.0,22720.3,22857.2,242800
2025-02-24,22553.35,22668.05,22518.8,22609.35,214300
2025-02-25,22547.55,22625.3,22513.9,22516.45,250300
2025-02-27,22545.05,22613.3,22508.4,22568.95,289200
2025-02-28,22124.7,22450.35,22104.85,22433.4,551300
2025-03-03,22119.3,22261.55,22004.7,22194.55,282400
2025-03-04,22082.65,22105.05,21964.6,21974.45,253300
2025-03-05,22337.3,22394.9,22067.8,22073.05,305900
2025-03-06,22544.7,22556.45,22245.85,22476.35,372100
2025-03-07,22552.5,22633.8,22464.75,22508.65,289800
2025-03-10,22460.3,22676.75,22429.05,22521.85,293900
2025-03-11,22497.9,22522.1,22314.7,22345.95,347900
2025-03-12,22470.5,22577.4,22329.55,22536.35,369700
2025-03-13,22397.2,22558.05,22377.35,22541.5,287500
2025-03-17,22508.75,22577.0,22353.15,22353.15,251100
2025-03-18,22834.3,22857.8,22599.2,22662.25,272600
2025-03-19,22907.6,22940.7,22807.95,22874.95,324000
2025-03-20,23190.65,23216.7,22973.95,23036.6,313700
2025-03-21,23350.4,23402.7,23132.8,23168.25,541000
2025-03-24,23658.35,23708.75,23433.5,23515.4,311900
2025-03-25,23668.65,23869.6,23601.4,23751.5,338200
2025-03-26,23486.85,23736.5,23451.7,23700.95,278600
2025-03-27,23591.95,23646.45,23412.2,23433.95,510300
2025-03-28,23519.35,23649.2,23450.2,23600.4,295400
2025-04-01,23165.7,23565.15,23136.4,23341.1,314300
2025-04-02,23332.35,23350.0,23158.45,23192.6,341000
2025-04-03,23250.1,23306.5,23145.8,23150.3,283200
2025-04-04,22904.45,23214.7,22857.45,23190.4,466800
2025-04-07,22161.6,22254.0,21743.65,21758.4,647100
2025-04-08,22535.85,22697.2,22270.85,22446.75,468300
2025-04-09,22399.15,22468.7,22353.25,22460.3,383800
2025-04-11,22828.55,22923.9,22695.4,22695.4,402200
2025-04-15,23328.55,23368.35,23207.0,23368.35,388300
2025-04-16,23437.2,23452.2,23273.05,23344.1,348400
2025-04-17,23851.65,23872.35,23298.55,23401.85,505300
